Katalogid,DersAdi,Fakulte,alan_grubu,AKTSKredi,model_tahmin_akts,kural_akts,adaptif_akts_50_50,adaptif_akts_60_40,adaptif_akts_70_30,adaptif_akts_80_20,adaptif_akts,sapma,sapma_yuzde,karar,gerekce,K_bilissel,K_profil,K_etkinlik
217485,Makine Laboratuarı,Mühendislik,STEM,4,4.5745,4.0748,4.3246,4.3746,4.4246,4.4746,4.4246,0.4246,10.62,Kabul edilebilir,"AKTS_mevcut=4.0 | model_tahmin=4.57 | kural_akts=4.07 (K_bilissel=1.00, K_profil=1.00, K_etkinlik=1.02) | adaptif=4.42 | sapma=+10.6%",1.0,1.0,1.0187
217481,Isı ve Enerji Laboratuarı,Mühendislik,STEM,6,4.3721,5.9322,5.1522,4.9961,4.8401,4.6841,4.8401,-1.1599,-19.33,Kabul edilebilir,"AKTS_mevcut=6.0 | model_tahmin=4.37 | kural_akts=5.93 (K_bilissel=1.00, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.84 | sapma=-19.3%",1.0,1.0,0.9887
217480,Konstrüksiyon ve İmalat Laboratuarı,Mühendislik,STEM,6,4.3721,5.9322,5.1522,4.9961,4.8401,4.6841,4.8401,-1.1599,-19.33,Kabul edilebilir,"AKTS_mevcut=6.0 | model_tahmin=4.37 | kural_akts=5.93 (K_bilissel=1.00, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.84 | sapma=-19.3%",1.0,1.0,0.9887
217479,İş Sağlığı ve Güvenliği-II,Mühendislik,STEM,2,4.3062,1.9774,3.1418,3.3747,3.6076,3.8404,3.6076,1.6076,80.38,İncelenmeli,"AKTS_mevcut=2.0 | model_tahmin=4.31 | kural_akts=1.98 (K_bilissel=1.00, K_profil=1.00, K_etkinlik=0.99) | adaptif=3.61 | sapma=+80.4%",1.0,1.0,0.9887
217290,Takım Tezgahları,Mühendislik,STEM,4,4.2401,3.9548,4.0974,4.126,4.1545,4.183,4.1545,0.1545,3.86,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=4.24 | kural_akts=3.95 (K_bilissel=1.00, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.15 | sapma=+3.9%",1.0,1.0,0.9887
217478,İş Sağlığı ve Güvenliği-I,Mühendislik,STEM,2,4.0956,1.9774,3.0365,3.2483,3.4601,3.672,3.4601,1.4601,73.0,İncelenmeli,"AKTS_mevcut=2.0 | model_tahmin=4.10 | kural_akts=1.98 (K_bilissel=1.00, K_profil=1.00, K_etkinlik=0.99) | adaptif=3.46 | sapma=+73.0%",1.0,1.0,0.9887
217476, Taşıt iklimlendirme Sistemleri,Mühendislik,STEM,6,4.1482,6.9703,5.5593,5.277,4.9948,4.7126,4.9948,-1.0052,-16.75,Kabul edilebilir,"AKTS_mevcut=6.0 | model_tahmin=4.15 | kural_akts=6.97 (K_bilissel=1.18, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.99 | sapma=-16.8%",1.175,1.0,0.9887
217475,Endüstriyel Gürültü Kontrolü,Mühendislik,STEM,5,4.0938,4.9435,4.5186,4.4337,4.3487,4.2637,4.3487,-0.6513,-13.03,Kabul edilebilir,"AKTS_mevcut=5.0 | model_tahmin=4.09 | kural_akts=4.94 (K_bilissel=1.00, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.35 | sapma=-13.0%",1.0,1.0,0.9887
217474,Biyomekanik,Mühendislik,STEM,3,4.5012,4.3914,4.4463,4.4573,4.4683,4.4792,4.4683,1.4683,48.94,İncelenmeli,"AKTS_mevcut=3.0 | model_tahmin=4.50 | kural_akts=4.39 (K_bilissel=1.18, K_profil=1.15, K_etkinlik=1.08) | adaptif=4.47 | sapma=+48.9%",1.18,1.15,1.0787
217473,Mühendislikte Teknoloji Yönetimi,Mühendislik,STEM,3,4.1627,3.4852,3.824,3.8917,3.9594,4.0272,3.9594,0.9594,31.98,İncelenmeli,"AKTS_mevcut=3.0 | model_tahmin=4.16 | kural_akts=3.49 (K_bilissel=1.18, K_profil=1.00, K_etkinlik=0.99) | adaptif=3.96 | sapma=+32.0%",1.175,1.0,0.9887
